时间戳,通道1,通道2,通道3
0.0,0.0,0.866025,-0.866025
1.0,0.006283,0.859674,-0.875296
2.0,0.012566,0.853187,-0.884255
3.0,0.018848,0.846565,-0.8929
4.0,0.02513,0.839809,-0.901228
5.0,0.031411,0.832921,-0.909236
6.0,0.03769,0.825902,-0.916921
7.0,0.043968,0.818751,-0.92428
8.0,0.050244,0.811472,-0.93131
9.0,0.056519,0.804064,-0.93801
10.0,0.062791,0.79653,-0.944376
11.0,0.06906,0.78887,-0.950407
12.0,0.075327,0.781085,-0.9561
13.0,0.081591,0.773177,-0.961454
14.0,0.087851,0.765146,-0.966466
15.0,0.094108,0.756995,-0.971134
16.0,0.100362,0.748724,-0.975458
17.0,0.106611,0.740335,-0.979435
18.0,0.112856,0.73183,-0.983064
19.0,0.119097,0.723208,-0.986343
20.0,0.125333,0.714473,-0.989272
21.0,0.131564,0.705624,-0.99185
22.0,0.13779,0.696664,-0.994075
23.0,0.144011,0.687595,-0.995947
24.0,0.150226,0.678416,-0.997466
25.0,0.156434,0.669131,-0.99863
26.0,0.162637,0.659739,-0.999439
27.0,0.168833,0.650244,-0.999893
28.0,0.175023,0.640646,-0.999991
29.0,0.181206,0.630947,-0.999735
30.0,0.187381,0.621148,-0.999123
31.0,0.193549,0.611251,-0.998156
32.0,0.19971,0.601257,-0.996835
33.0,0.205863,0.591169,-0.995159
34.0,0.212007,0.580987,-0.99313
35.0,0.218143,0.570714,-0.990748
36.0,0.224271,0.56035,-0.988014
37.0,0.230389,0.549898,-0.984929
38.0,0.236499,0.539359,-0.981494
39.0,0.242599,0.528735,-0.97771
40.0,0.24869,0.518027,-0.973579
41.0,0.254771,0.507238,-0.969102
42.0,0.260842,0.496368,-0.964281
43.0,0.266902,0.48542,-0.959117
44.0,0.272952,0.474396,-0.953612
45.0,0.278991,0.463296,-0.947768
46.0,0.285019,0.452123,-0.941588
47.0,0.291036,0.440879,-0.935073
48.0,0.297042,0.429566,-0.928226
49.0,0.303035,0.418184,-0.92105
50.0,0.309017,0.406737,-0.913545
51.0,0.314987,0.395225,-0.905717
52.0,0.320944,0.383651,-0.897566
53.0,0.326888,0.372016,-0.889097
54.0,0.33282,0.360322,-0.880312
55.0,0.338738,0.348572,-0.871214
56.0,0.344643,0.336767,-0.861806
57.0,0.350534,0.324908,-0.852093
58.0,0.356412,0.312998,-0.842076
59.0,0.362275,0.301039,-0.83176
60.0,0.368125,0.289032,-0.821149
61.0,0.373959,0.276979,-0.810246
62.0,0.379779,0.264883,-0.799055
63.0,0.385584,0.252745,-0.787581
64.0,0.391374,0.240567,-0.775826
65.0,0.397148,0.228351,-0.763796
66.0,0.402906,0.216099,-0.751494
67.0,0.408649,0.203813,-0.738926
68.0,0.414376,0.191494,-0.726095
69.0,0.420086,0.179146,-0.713006
70.0,0.425779,0.166769,-0.699663
71.0,0.431456,0.154366,-0.686072
72.0,0.437116,0.141938,-0.672238
73.0,0.442758,0.129488,-0.658164
74.0,0.448383,0.117017,-0.643857
75.0,0.45399,0.104528,-0.62932
76.0,0.45958,0.092023,-0.614561
77.0,0.465151,0.079503,-0.599582
78.0,0.470704,0.06697,-0.584391
79.0,0.476238,0.054427,-0.568993
80.0,0.481754,0.041876,-0.553392
81.0,0.48725,0.029317,-0.537594
82.0,0.492727,0.016754,-0.521605
83.0,0.498185,0.004189,-0.505431
84.0,0.503623,-0.008377,-0.489078
85.0,0.509041,-0.020942,-0.472551
86.0,0.51444,-0.033504,-0.455856
