时间戳,输入,输出
0.0,0.0,-0.43729
10.0,0.006284,-0.431748
20.0,0.012569,-0.426188
30.0,0.018855,-0.420612
40.0,0.025142,-0.415017
50.0,0.031429,-0.409406
60.0,0.037716,-0.403778
70.0,0.044004,-0.398133
80.0,0.050291,-0.392471
90.0,0.056577,-0.386794
100.0,0.062863,-0.3811
110.0,0.069147,-0.37539
120.0,0.075431,-0.369665
130.0,0.081713,-0.363925
140.0,0.087993,-0.358169
150.0,0.094271,-0.352398
160.0,0.100546,-0.346612
170.0,0.106819,-0.340812
180.0,0.11309,-0.334997
190.0,0.119357,-0.329168
200.0,0.125621,-0.323325
210.0,0.131881,-0.317469
220.0,0.138138,-0.311599
230.0,0.14439,-0.305715
240.0,0.150638,-0.299819
250.0,0.156882,-0.29391
260.0,0.163121,-0.287988
270.0,0.169354,-0.282053
280.0,0.175583,-0.276107
290.0,0.181805,-0.270148
300.0,0.188022,-0.264178
310.0,0.194233,-0.258196
320.0,0.200438,-0.252203
330.0,0.206635,-0.246199
340.0,0.212826,-0.240184
350.0,0.21901,-0.234158
360.0,0.225187,-0.228122
370.0,0.231356,-0.222075
380.0,0.237517,-0.216019
390.0,0.24367,-0.209953
400.0,0.249814,-0.203878
410.0,0.25595,-0.197793
420.0,0.262077,-0.191699
430.0,0.268195,-0.185597
440.0,0.274304,-0.179485
450.0,0.280402,-0.173366
460.0,0.286491,-0.167238
470.0,0.29257,-0.161103
480.0,0.298638,-0.15496
490.0,0.304696,-0.148809
500.0,0.310743,-0.142652
510.0,0.316779,-0.136487
520.0,0.322803,-0.130316
530.0,0.328816,-0.124138
540.0,0.334816,-0.117954
550.0,0.340805,-0.111764
560.0,0.346781,-0.105568
570.0,0.352744,-0.099367
580.0,0.358695,-0.093161
590.0,0.364632,-0.086949
600.0,0.370556,-0.080733
610.0,0.376466,-0.074512
620.0,0.382362,-0.068287
630.0,0.388244,-0.062058
640.0,0.394112,-0.055825
650.0,0.399965,-0.049588
660.0,0.405803,-0.043348
670.0,0.411626,-0.037105
680.0,0.417433,-0.030859
690.0,0.423225,-0.024611
700.0,0.429001,-0.01836
710.0,0.434761,-0.012107
720.0,0.440504,-0.005853
730.0,0.446231,0.000404
740.0,0.451941,0.006662
750.0,0.457633,0.01292
760.0,0.463308,0.01918
770.0,0.468966,0.025441
780.0,0.474606,0.031701
790.0,0.480227,0.037962
800.0,0.48583,0.044223
810.0,0.491415,0.050484
820.0,0.496981,0.056743
830.0,0.502527,0.063002
840.0,0.508055,0.06926
850.0,0.513562,0.075517
860.0,0.51905,0.081772
870.0,0.524518,0.088025
880.0,0.529966,0.094276
890.0,0.535393,0.100524
900.0,0.540799,0.10677
910.0,0.546184,0.113014
920.0,0.551548,0.119254
930.0,0.556891,0.12549
940.0,0.562212,0.131723
950.0,0.56751,0.137953
960.0,0.572787,0.144178
970.0,0.578041,0.150398
980.0,0.583273,0.156615
990.0,0.588481,0.162826
1000.0,0.593667,0.169032
1010.0,0.598829,0.175233
1020.0,0.603968,0.181428
1030.0,0.609083,0.187617
1040.0,0.614173,0.1938
1050.0,0.61924,0.199977
1060.0,0.624282,0.206147
1070.0,0.629299,0.212311
1080.0,0.634292,0.218467
1090.0,0.639259,0.224616
1100.0,0.644201,0.230757
1110.0,0.649117,0.23689
1120.0,0.654007,0.243015
1130.0,0.658871,0.249132
1140.0,0.663709,0.25524
1150.0,0.668521,0.261339
1160.0,0.673306,0.267429
1170.0,0.678063,0.27351
1180.0,0.682794,0.279581
1190.0,0.687497,0.285642
1200.0,0.692173,0.291693
1210.0,0.696821,0.297733
1220.0,0.701441,0.303763
1230.0,0.706032,0.309782
1240.0,0.710596,0.31579
1250.0,0.71513,0.321786
1260.0,0.719636,0.327771
1270.0,0.724112,0.333744
1280.0,0.72856,0.339705
1290.0,0.732977,0.345653
1300.0,0.737366,0.351589
1310.0,0.741724,0.357511
1320.0,0.746052,0.363421
1330.0,0.75035,0.369317
1340.0,0.754617,0.375199
1350.0,0.758854,0.381068
1360.0,0.763059,0.386922
1370.0,0.767234,0.392762
1380.0,0.771377,0.398588
1390.0,0.775489,0.404398
1400.0,0.779569,0.410194
1410.0,0.783617,0.415974
1420.0,0.787634,0.421738
1430.0,0.791617,0.427486
1440.0,0.795569,0.433219
1450.0,0.799488,0.438935
1460.0,0.803373,0.444634
1470.0,0.807226,0.450317
1480.0,0.811046,0.455982
1490.0,0.814832,0.46163
1500.0,0.818585,0.46726
1510.0,0.822304,0.472873
1520.0,0.825989,0.478468
1530.0,0.829639,0.484044
1540.0,0.833256,0.489602
1550.0,0.836838,0.49514
1560.0,0.840385,0.50066
1570.0,0.843898,0.506161
1580.0,0.847375,0.511642
1590.0,0.850818,0.517103
1600.0,0.854225,0.522545
1610.0,0.857596,0.527966
1620.0,0.860932,0.533366
1630.0,0.864232,0.538746
1640.0,0.867496,0.544105
1650.0,0.870723,0.549443
1660.0,0.873915,0.554759
1670.0,0.87707,0.560054
1680.0,0.880188,0.565327
1690.0,0.883269,0.570578
1700.0,0.886313,0.575806
1710.0,0.889321,0.581012
1720.0,0.892291,0.586195
1730.0,0.895223,0.591356
1740.0,0.898118,0.596492
1750.0,0.900975,0.601606
1760.0,0.903794,0.606695
1770.0,0.906575,0.611761
1780.0,0.909318,0.616803
